,mibfc,Month,Total Loaned,Months' Income Borrowed,Number of Loans
11464,0,2012-9,4000,0 to 1,1
11465,0,2012-9,4000,0 to 1,1
11466,1,2013-11,5000,1 to 2,1
11467,3,2013-6,10000,3 to 4,1
11468,2,2012-7,15000,2 to 3,1
11469,1,2013-12,17500,1 to 2,1
11470,2,2013-8,10000,2 to 3,1
11471,3,2013-5,10000,3 to 4,1
11472,3,2013-7,15000,3 to 4,1
11473,2,2013-7,15000,2 to 3,1
11474,1,2013-12,12000,1 to 2,1
11475,3,2014-2,20000,3 to 4,1
11476,1,2013-12,7500,1 to 2,1
11477,0,2012-7,10000,0 to 1,1
11478,4,2012-8,4000,4+,1
11479,1,2013-11,20000,1 to 2,1
11480,1,2010-12,4000,1 to 2,1
11481,0,2012-10,4500,0 to 1,1
11482,0,2011-10,7500,0 to 1,1
11483,2,2012-7,8000,2 to 3,1
11484,2,2013-9,15000,2 to 3,1
11485,3,2013-3,20000,3 to 4,1
11486,1,2012-7,17000,1 to 2,1
11487,0,2013-6,4000,0 to 1,1
11488,0,2012-7,4000,0 to 1,1
11489,0,2012-7,15206,0 to 1,1
11490,3,2014-1,15000,3 to 4,1
11491,1,2012-9,15000,1 to 2,1
11492,3,2011-11,2500,3 to 4,1
11493,2,2013-11,10000,2 to 3,1
11494,1,2014-1,4000,1 to 2,1
11495,2,2013-12,11500,2 to 3,1
11496,3,2013-1,13000,3 to 4,1
11497,0,2011-10,13000,0 to 1,1
11498,2,2013-2,15000,2 to 3,1
11499,0,2013-2,5000,0 to 1,1
11500,1,2012-3,4000,1 to 2,1
11501,1,2011-4,15000,1 to 2,1
11502,1,2013-7,9000,1 to 2,1
11503,3,2013-12,17000,3 to 4,1
11504,3,2013-10,17873,3 to 4,1
11505,2,2013-2,10000,2 to 3,1
11506,1,2012-9,4500,1 to 2,1
11507,0,2012-1,5000,0 to 1,1
11508,1,2014-1,15000,1 to 2,1
11509,0,2012-7,7000,0 to 1,1
11510,2,2011-8,8000,2 to 3,1
11511,1,2014-1,4000,1 to 2,1
11512,4,2012-11,16000,4+,1
11513,1,2011-11,7500,1 to 2,1
11514,1,2013-1,4000,1 to 2,1
11515,2,2012-7,10000,2 to 3,1
11516,3,2013-11,28000,3 to 4,1
11517,1,2013-7,15000,1 to 2,1
11518,1,2014-2,15000,1 to 2,1
11519,2,2011-11,20000,2 to 3,1
11520,3,2013-6,10000,3 to 4,1
11521,1,2013-6,7000,1 to 2,1
11522,2,2013-10,20000,2 to 3,1
11523,3,2013-11,25000,3 to 4,1
11524,0,2013-7,6000,0 to 1,1
11525,3,2013-6,10000,3 to 4,1
11526,3,2014-1,13500,3 to 4,1
11527,3,2012-6,15000,3 to 4,1
11528,1,2013-11,10000,1 to 2,1
11529,0,2012-10,4000,0 to 1,1
11530,0,2012-10,3000,0 to 1,1
11531,1,2013-12,6200,1 to 2,1
11532,0,2011-6,4850,0 to 1,1
11533,0,2013-6,2000,0 to 1,1
11534,3,2013-11,15000,3 to 4,1
11535,1,2013-12,13000,1 to 2,1
11536,3,2014-1,25000,3 to 4,1
11537,3,2013-12,15000,3 to 4,1
11538,1,2013-2,9000,1 to 2,1
11539,0,2012-4,4000,0 to 1,1
11540,0,2011-1,6000,0 to 1,1
11541,1,2013-12,10000,1 to 2,1
11542,1,2014-1,8000,1 to 2,1
11543,0,2011-12,2000,0 to 1,1
11544,1,2011-3,5000,1 to 2,1
11545,2,2013-7,11500,2 to 3,1
11546,3,2013-8,15000,3 to 4,1
11547,1,2011-10,3500,1 to 2,1
11548,3,2013-11,15000,3 to 4,1
11549,1,2012-5,8000,1 to 2,1
11550,2,2012-8,13000,2 to 3,1
11551,0,2012-8,12500,0 to 1,1
11552,3,2013-6,10000,3 to 4,1
11553,4,2012-11,15000,4+,1
11554,0,2012-10,2000,0 to 1,1
11555,0,2013-3,3000,0 to 1,1
11556,4,2012-5,20000,4+,1
11557,1,2011-1,7500,1 to 2,1
11558,3,2014-1,15000,3 to 4,1
11559,2,2013-9,8500,2 to 3,1
11560,3,2013-7,10000,3 to 4,1
11561,2,2013-11,10000,2 to 3,1
11562,2,2012-2,15000,2 to 3,1
11563,2,2013-10,8500,2 to 3,1
11564,2,2013-8,20000,2 to 3,1
11565,1,2013-12,25000,1 to 2,1
11566,2,2013-6,10000,2 to 3,1
11567,2,2013-5,10000,2 to 3,1
11568,2,2013-7,15000,2 to 3,1
11569,3,2013-9,15000,3 to 4,1
11570,2,2012-11,6000,2 to 3,1
11571,3,2011-10,25000,3 to 4,1
11572,0,2012-10,5000,0 to 1,1
11573,1,2013-5,12500,1 to 2,1
11574,4,2013-11,15000,4+,1
11575,2,2011-3,11905,2 to 3,1
11576,2,2013-9,8000,2 to 3,1
11577,1,2013-11,8500,1 to 2,1
11578,0,2013-11,7000,0 to 1,1
11579,2,2012-11,5000,2 to 3,1
11580,0,2012-7,4000,0 to 1,1
11581,1,2013-1,15000,1 to 2,1
11582,4,2012-9,10000,4+,1
11583,3,2012-3,10500,3 to 4,1
11584,1,2014-1,25000,1 to 2,1
11585,2,2014-1,10000,2 to 3,1
11586,0,2012-2,2500,0 to 1,1
11587,0,2010-8,1500,0 to 1,1
11588,0,2012-10,4000,0 to 1,1
11589,1,2012-7,12000,1 to 2,1
11590,1,2012-1,10000,1 to 2,1
11591,3,2013-6,15000,3 to 4,1
11592,2,2011-9,10000,2 to 3,1
11593,1,2012-3,10000,1 to 2,1
11594,1,2013-11,6000,1 to 2,1
11595,1,2013-3,6000,1 to 2,1
11596,1,2012-2,8000,1 to 2,1
11597,0,2013-3,2000,0 to 1,1
11598,2,2014-1,15000,2 to 3,1
11599,1,2012-12,15000,1 to 2,1
11600,0,2012-7,2000,0 to 1,1
11601,0,2012-9,3000,0 to 1,1
11602,0,2011-1,6000,0 to 1,1
11603,0,2013-11,2000,0 to 1,1
11604,3,2013-11,13000,3 to 4,1
11605,0,2013-10,6001,0 to 1,1
11606,1,2013-5,6500,1 to 2,1
11607,0,2013-8,3000,0 to 1,1
11608,1,2013-8,6000,1 to 2,1
11609,2,2012-7,6000,2 to 3,1
11610,2,2012-11,9000,2 to 3,1
11611,0,2013-12,4949,0 to 1,1
11612,3,2013-4,15000,3 to 4,1
11613,2,2013-9,20000,2 to 3,1
11614,0,2013-5,4000,0 to 1,1
11615,2,2013-10,10000,2 to 3,1
11616,2,2011-6,12144,2 to 3,1
11617,2,2013-11,13000,2 to 3,1
11618,3,2013-12,20000,3 to 4,1
11619,2,2014-1,13750,2 to 3,1
11620,3,2013-10,15000,3 to 4,1
11621,0,2012-9,2000,0 to 1,1
11622,0,2012-4,10000,0 to 1,1
11623,1,2011-10,5000,1 to 2,1
11624,1,2012-11,4000,1 to 2,1
11625,1,2012-10,13100,1 to 2,1
11626,1,2013-9,20000,1 to 2,1
11627,2,2013-12,10000,2 to 3,1
11628,2,2014-1,10000,2 to 3,1
11629,0,2013-9,7500,0 to 1,1
11630,1,2014-2,15000,1 to 2,1
11631,0,2014-1,4000,0 to 1,1
11632,2,2012-7,15000,2 to 3,1
11633,0,2013-6,2000,0 to 1,1
11634,1,2011-10,18000,1 to 2,1
11635,1,2012-1,10000,1 to 2,1
11636,3,2013-9,20000,3 to 4,1
11637,1,2012-11,3000,1 to 2,1
11638,1,2013-9,7000,1 to 2,1
11639,2,2014-2,10000,2 to 3,1
11640,0,2011-6,7000,0 to 1,1
11641,1,2014-2,15000,1 to 2,1
11642,0,2011-7,4000,0 to 1,1
11643,1,2013-9,7800,1 to 2,1
11644,1,2012-12,4000,1 to 2,1
11645,1,2013-9,8000,1 to 2,1
11646,2,2012-10,22500,2 to 3,1
11647,1,2013-9,3000,1 to 2,1
11648,1,2012-6,6000,1 to 2,1
11649,4,2013-4,10000,4+,1
11650,0,2011-12,3000,0 to 1,1
11651,2,2014-1,9000,2 to 3,1
11652,1,2014-1,6500,1 to 2,1
11653,1,2013-12,7000,1 to 2,1
11654,3,2013-8,10000,3 to 4,1
11655,0,2011-12,2500,0 to 1,1
11656,2,2011-4,7500,2 to 3,1
11657,1,2012-6,6000,1 to 2,1
11658,2,2013-11,10000,2 to 3,1
11659,0,2013-10,2200,0 to 1,1
11660,0,2012-8,5700,0 to 1,1
11661,0,2013-10,4000,0 to 1,1
11662,2,2013-9,10000,2 to 3,1
11663,1,2013-6,7000,1 to 2,1
11664,2,2013-9,15000,2 to 3,1
11665,2,2013-12,20000,2 to 3,1
11666,1,2012-12,20000,1 to 2,1
11667,0,2011-6,2500,0 to 1,1
11668,1,2013-11,15000,1 to 2,1
11669,2,2014-1,13500,2 to 3,1
11670,0,2011-8,3000,0 to 1,1
11671,0,2013-8,4000,0 to 1,1
11672,0,2011-4,4000,0 to 1,1
11673,3,2014-2,25000,3 to 4,1
11674,3,2013-11,15000,3 to 4,1
11675,1,2013-7,5000,1 to 2,1
11676,1,2013-11,4000,1 to 2,1
11677,1,2014-2,8000,1 to 2,1
11678,2,2013-8,15000,2 to 3,1
11679,2,2013-5,20000,2 to 3,1
11680,2,2013-6,8500,2 to 3,1
11681,2,2011-10,8000,2 to 3,1
11682,1,2011-7,7500,1 to 2,1
11683,4,2012-7,6000,4+,1
11684,2,2012-5,9000,2 to 3,1
11685,2,2014-1,7000,2 to 3,1
11686,0,2013-6,2000,0 to 1,1
11687,0,2011-4,4000,0 to 1,1
11688,2,2012-11,9000,2 to 3,1
11689,3,2014-1,15000,3 to 4,1
11690,2,2013-12,20000,2 to 3,1
11691,2,2013-12,4000,2 to 3,1
11692,2,2013-6,15000,2 to 3,1
11693,1,2012-7,4000,1 to 2,1
11694,2,2012-4,6000,2 to 3,1
11695,2,2014-2,19000,2 to 3,1
11696,3,2012-6,10000,3 to 4,1
11697,1,2014-1,5000,1 to 2,1
11698,0,2012-10,4000,0 to 1,1
11699,1,2013-1,10000,1 to 2,1
11700,3,2014-1,25000,3 to 4,1
11701,0,2011-12,5000,0 to 1,1
11702,2,2012-8,9000,2 to 3,1
11703,0,2013-4,15000,0 to 1,1
11704,1,2014-1,7000,1 to 2,1
11705,1,2013-12,7000,1 to 2,1
11706,0,2010-10,1500,0 to 1,1
11707,0,2014-2,2500,0 to 1,1
11708,1,2013-5,3500,1 to 2,1
11709,3,2013-10,10000,3 to 4,1
11710,2,2013-5,32500,2 to 3,1
11711,2,2011-8,8500,2 to 3,1
11712,1,2013-11,4000,1 to 2,1
11713,0,2013-12,8000,0 to 1,1
11714,2,2011-10,4000,2 to 3,1
11715,0,2011-4,7500,0 to 1,1
11716,3,2013-11,35000,3 to 4,1
11717,0,2012-7,4000,0 to 1,1
11718,2,2013-7,15000,2 to 3,1
11719,4,2012-6,25000,4+,1
11720,3,2014-2,25000,3 to 4,1
11721,1,2014-1,6000,1 to 2,1
11722,0,2014-2,3000,0 to 1,1
11723,1,2014-2,10000,1 to 2,1
11724,2,2014-1,15000,2 to 3,1
11725,2,2014-2,30600,2 to 3,1
11726,0,2013-6,4000,0 to 1,1
11727,1,2012-7,7000,1 to 2,1
11728,2,2014-2,4000,2 to 3,1
11729,4,2012-9,15500,4+,1
11730,2,2014-1,15000,2 to 3,1
11731,2,2013-12,35000,2 to 3,1
11732,0,2013-10,11500,0 to 1,1
11733,2,2013-12,8000,2 to 3,1
11734,1,2012-6,4500,1 to 2,1
11735,2,2013-5,25000,2 to 3,1
11736,2,2013-7,11500,2 to 3,1
11737,1,2013-12,8200,1 to 2,1
11738,0,2013-6,3000,0 to 1,1
11739,0,2011-12,4000,0 to 1,1
11740,2,2013-4,15000,2 to 3,1
11741,3,2013-9,10000,3 to 4,1
11742,2,2013-7,10000,2 to 3,1
11743,1,2014-1,25000,1 to 2,1
11744,1,2013-5,5000,1 to 2,1
11745,4,2012-5,15000,4+,1
11746,3,2013-9,10000,3 to 4,1
11747,2,2011-9,10000,2 to 3,1
11748,3,2012-9,15000,3 to 4,1
11749,0,2012-8,4000,0 to 1,1
11750,2,2013-10,20000,2 to 3,1
11751,2,2013-1,10000,2 to 3,1
11752,0,2014-2,2000,0 to 1,1
11753,3,2012-11,8000,3 to 4,1
11754,3,2013-7,10000,3 to 4,1
11755,0,2013-8,4000,0 to 1,1
11756,2,2014-2,15000,2 to 3,1
11757,0,2012-1,8500,0 to 1,1
11758,1,2012-3,10500,1 to 2,1
11759,3,2013-6,15000,3 to 4,1
11760,2,2013-5,10000,2 to 3,1
11761,0,2014-2,9000,0 to 1,1
11762,3,2013-6,15000,3 to 4,1
11763,1,2014-1,15000,1 to 2,1
11764,1,2013-12,25000,1 to 2,1
11765,2,2012-2,15000,2 to 3,1
11766,2,2013-1,17000,2 to 3,1
11767,0,2013-7,6500,0 to 1,1
11768,0,2012-10,4000,0 to 1,1
11769,0,2012-9,4000,0 to 1,1
11770,3,2013-7,10000,3 to 4,1
11771,0,2013-10,2500,0 to 1,1
11772,2,2013-7,35000,2 to 3,1
11773,0,2012-7,3500,0 to 1,1
11774,0,2014-2,2000,0 to 1,1
11775,1,2010-10,15000,1 to 2,1
11776,4,2013-5,4000,4+,1
11777,1,2013-12,16000,1 to 2,1
11778,2,2012-3,8000,2 to 3,1
11779,0,2012-10,7500,0 to 1,1
11780,2,2012-9,25000,2 to 3,1
11781,0,2012-7,6500,0 to 1,1
11782,1,2012-6,10000,1 to 2,1
11783,1,2013-12,8500,1 to 2,1
11784,1,2012-8,4700,1 to 2,1
11785,1,2012-9,11200,1 to 2,1
11786,0,2013-8,3000,0 to 1,1
11787,2,2013-11,16000,2 to 3,1
11788,1,2013-6,25000,1 to 2,1
11789,4,2012-11,12500,4+,1
11790,2,2014-2,25000,2 to 3,1
11791,3,2013-10,25000,3 to 4,1
11792,1,2013-11,10000,1 to 2,1
11793,0,2013-11,7500,0 to 1,1
11794,2,2011-6,10654,2 to 3,1
11795,0,2012-5,4000,0 to 1,1
11796,1,2013-6,10000,1 to 2,1
11797,1,2013-7,9000,1 to 2,1
11798,1,2013-11,13000,1 to 2,1
11799,1,2011-11,5600,1 to 2,1
11800,1,2011-10,10000,1 to 2,1
11801,3,2013-5,10000,3 to 4,1
11802,3,2014-2,35000,3 to 4,1
11803,0,2013-10,2000,0 to 1,1
11804,2,2014-2,10000,2 to 3,1
11805,4,2011-10,2725,4+,1
11806,0,2012-10,4000,0 to 1,1
11807,0,2013-6,2000,0 to 1,1
11808,0,2011-12,8000,0 to 1,1
11809,0,2012-6,4000,0 to 1,1
11810,0,2013-7,4000,0 to 1,1
11811,0,2011-12,4000,0 to 1,1
11812,2,2014-2,25000,2 to 3,1
11813,0,2012-12,4300,0 to 1,1
11814,1,2013-8,13000,1 to 2,1
11815,0,2011-9,2000,0 to 1,1
11816,2,2013-5,8500,2 to 3,1
11817,0,2012-6,4000,0 to 1,1
11818,2,2013-8,10000,2 to 3,1
11819,3,2013-9,10000,3 to 4,1
11820,3,2013-11,15000,3 to 4,1
11821,1,2012-9,15000,1 to 2,1
11822,0,2012-3,6000,0 to 1,1
11823,1,2013-10,10000,1 to 2,1
11824,1,2013-6,4000,1 to 2,1
11825,0,2011-1,4000,0 to 1,1
11826,2,2013-12,7500,2 to 3,1
11827,1,2013-8,3000,1 to 2,1
11828,2,2012-10,7000,2 to 3,1
11829,2,2014-1,18000,2 to 3,1
11830,3,2012-8,8000,3 to 4,1
11831,2,2013-7,10000,2 to 3,1
11832,1,2013-7,6892,1 to 2,1
11833,1,2011-9,3000,1 to 2,1
11834,1,2013-12,6000,1 to 2,1
11835,0,2013-1,5700,0 to 1,1
11836,0,2012-7,3000,0 to 1,1
11837,3,2014-2,15000,3 to 4,1
11838,1,2013-11,5000,1 to 2,1
11839,0,2013-8,4000,0 to 1,1
11840,0,2013-4,2500,0 to 1,1
11841,0,2013-10,2000,0 to 1,1
11842,2,2012-7,8000,2 to 3,1
11843,0,2012-11,2000,0 to 1,1
11844,3,2013-2,15000,3 to 4,1
11845,2,2012-8,10000,2 to 3,1
11846,2,2012-8,8500,2 to 3,1
11847,0,2013-6,4000,0 to 1,1
11848,0,2014-1,2000,0 to 1,1
11849,1,2013-11,5000,1 to 2,1
11850,1,2013-7,4000,1 to 2,1
11851,2,2011-3,5000,2 to 3,1
11852,4,2012-8,15000,4+,1
11853,3,2013-5,20000,3 to 4,1
11854,3,2010-9,5000,3 to 4,1
11855,3,2011-11,15000,3 to 4,1
11856,0,2013-4,3000,0 to 1,1
11857,0,2011-11,4000,0 to 1,1
11858,1,2013-6,10000,1 to 2,1
11859,1,2014-1,2000,1 to 2,1
11860,0,2011-12,4000,0 to 1,1
11861,1,2012-5,13500,1 to 2,1
11862,1,2013-9,6500,1 to 2,1
11863,1,2012-2,10000,1 to 2,1
11864,1,2013-12,10000,1 to 2,1
11865,2,2013-12,10000,2 to 3,1
11866,1,2012-9,9000,1 to 2,1
11867,3,2013-10,15000,3 to 4,1
11868,1,2013-5,15000,1 to 2,1
11869,2,2013-11,15000,2 to 3,1
11870,0,2011-3,7000,0 to 1,1
11871,0,2013-10,2000,0 to 1,1
11872,1,2011-3,5000,1 to 2,1
11873,1,2012-3,22247,1 to 2,1
11874,3,2013-3,10000,3 to 4,1
11875,1,2013-11,15000,1 to 2,1
11876,0,2011-8,2000,0 to 1,1
11877,2,2013-6,15000,2 to 3,1
11878,0,2011-7,2000,0 to 1,1
11879,0,2012-4,4000,0 to 1,1
11880,2,2013-7,10000,2 to 3,1
11881,1,2010-11,3500,1 to 2,1
11882,0,2011-10,4000,0 to 1,1
11883,2,2013-11,15000,2 to 3,1
11884,1,2012-8,17500,1 to 2,1
11885,1,2013-8,10000,1 to 2,1
11886,0,2010-9,2000,0 to 1,1
11887,2,2013-7,12000,2 to 3,1
11888,2,2013-12,35000,2 to 3,1
11889,2,2013-12,25000,2 to 3,1
11890,2,2012-5,15000,2 to 3,1
11891,1,2012-10,4000,1 to 2,1
11892,1,2013-4,6500,1 to 2,1
11893,0,2012-5,6000,0 to 1,1
11894,2,2013-8,20000,2 to 3,1
11895,3,2013-10,10000,3 to 4,1
11896,1,2013-2,10000,1 to 2,1
11897,1,2011-10,5000,1 to 2,1
11898,1,2012-8,20000,1 to 2,1
11899,0,2011-7,6958,0 to 1,1
11900,0,2012-3,2000,0 to 1,1
11901,0,2013-9,4000,0 to 1,1
11902,2,2013-9,11000,2 to 3,1
11903,2,2013-8,18000,2 to 3,1
11904,1,2011-12,5000,1 to 2,1
11905,2,2012-3,25000,2 to 3,1
11906,0,2013-11,3000,0 to 1,1
11907,3,2011-6,25000,3 to 4,1
11908,1,2013-5,4000,1 to 2,1
11909,2,2011-11,7500,2 to 3,1
11910,2,2012-9,7000,2 to 3,1
11911,2,2013-12,6000,2 to 3,1
11912,1,2013-7,20000,1 to 2,1
11913,1,2011-5,7500,1 to 2,1
11914,3,2014-2,18000,3 to 4,1
11915,1,2014-2,7800,1 to 2,1
11916,0,2011-7,3500,0 to 1,1
11917,2,2013-3,11000,2 to 3,1
11918,2,2014-1,23000,2 to 3,1
11919,0,2012-6,4000,0 to 1,1
11920,0,2013-12,5000,0 to 1,1
11921,0,2013-8,4000,0 to 1,1
11922,1,2014-2,4000,1 to 2,1
11923,0,2012-2,2000,0 to 1,1
11924,0,2013-10,2700,0 to 1,1
11925,0,2012-3,2000,0 to 1,1
11926,1,2013-8,12000,1 to 2,1
11927,1,2013-11,15000,1 to 2,1
11928,3,2014-1,15000,3 to 4,1
11929,1,2011-7,7500,1 to 2,1
11930,0,2013-5,4000,0 to 1,1
11931,3,2014-1,15000,3 to 4,1
11932,1,2013-6,15000,1 to 2,1
11933,2,2013-3,25000,2 to 3,1
11934,0,2011-4,4000,0 to 1,1
11935,2,2012-5,15000,2 to 3,1
11936,1,2013-8,12000,1 to 2,1
11937,0,2014-2,4000,0 to 1,1
11938,2,2013-9,22000,2 to 3,1
11939,1,2013-3,4000,1 to 2,1
11940,1,2014-2,12000,1 to 2,1
11941,0,2012-7,2000,0 to 1,1
11942,0,2013-10,4000,0 to 1,1
11943,1,2013-11,4000,1 to 2,1
11944,3,2013-5,10000,3 to 4,1
11945,4,2012-11,15000,4+,1
11946,3,2014-2,20000,3 to 4,1
11947,1,2013-11,4000,1 to 2,1
11948,0,2011-6,5000,0 to 1,1
11949,4,2012-6,8000,4+,1
11950,3,2012-11,14500,3 to 4,1
11951,0,2011-5,2000,0 to 1,1
11952,3,2013-9,15000,3 to 4,1
11953,2,2011-1,15000,2 to 3,1
11954,0,2011-12,2000,0 to 1,1
11955,1,2013-11,4000,1 to 2,1
11956,1,2013-7,10000,1 to 2,1
11957,2,2011-7,4000,2 to 3,1
11958,3,2013-6,10000,3 to 4,1
11959,1,2011-7,9359,1 to 2,1
11960,3,2013-9,20000,3 to 4,1
11961,3,2012-7,15500,3 to 4,1
11962,3,2014-1,10000,3 to 4,1
11963,0,2013-8,3895,0 to 1,1
11964,1,2013-10,6000,1 to 2,1
11965,2,2011-11,3600,2 to 3,1
11966,3,2013-12,15000,3 to 4,1
11967,0,2012-8,5000,0 to 1,1
11968,0,2014-1,4000,0 to 1,1
11969,2,2014-2,15000,2 to 3,1
11970,1,2013-12,4000,1 to 2,1
11971,2,2012-7,10000,2 to 3,1
11972,2,2012-3,15000,2 to 3,1
11973,0,2012-8,3000,0 to 1,1
11974,3,2012-10,11500,3 to 4,1
11975,1,2014-2,7000,1 to 2,1
11976,3,2013-9,20000,3 to 4,1
11977,0,2012-1,4000,0 to 1,1
11978,0,2013-7,2600,0 to 1,1
11979,0,2011-9,3500,0 to 1,1
11980,1,2013-11,15000,1 to 2,1
11981,3,2013-12,35000,3 to 4,1
11982,1,2014-1,5000,1 to 2,1
11983,1,2013-10,4000,1 to 2,1
11984,2,2013-11,12000,2 to 3,1
11985,2,2012-8,25000,2 to 3,1
11986,2,2012-10,4000,2 to 3,1
11987,1,2014-2,20000,1 to 2,1
11988,2,2014-1,20000,2 to 3,1
11989,2,2012-3,10000,2 to 3,1
11990,1,2014-1,10000,1 to 2,1
11991,0,2011-7,4000,0 to 1,1
11992,0,2012-10,8500,0 to 1,1
11993,3,2012-9,20500,3 to 4,1
11994,3,2013-10,20000,3 to 4,1
11995,2,2012-11,20500,2 to 3,1
11996,2,2014-1,20000,2 to 3,1
11997,4,2012-4,15000,4+,1
11998,0,2012-3,4000,0 to 1,1
11999,0,2013-2,2000,0 to 1,1
12000,2,2013-10,8500,2 to 3,1
12001,2,2013-12,12500,2 to 3,1
12002,1,2013-10,4000,1 to 2,1
12003,3,2014-2,19000,3 to 4,1
12004,3,2012-3,15000,3 to 4,1
12005,3,2013-9,15000,3 to 4,1
12006,0,2011-9,4000,0 to 1,1
12007,0,2012-4,6500,0 to 1,1
12008,0,2012-6,2000,0 to 1,1
12009,0,2012-4,4000,0 to 1,1
12010,1,2013-8,10000,1 to 2,1
12011,1,2013-6,4000,1 to 2,1
12012,1,2012-10,7500,1 to 2,1
12013,0,2012-3,3000,0 to 1,1
12014,1,2013-5,11000,1 to 2,1
12015,2,2013-11,10000,2 to 3,1
12016,0,2012-6,5500,0 to 1,1
12017,1,2012-1,4000,1 to 2,1
12018,1,2012-8,6500,1 to 2,1
12019,0,2013-3,4000,0 to 1,1
12020,4,2012-3,11000,4+,1
12021,1,2013-9,6200,1 to 2,1
12022,1,2014-1,10000,1 to 2,1
12023,1,2013-8,5000,1 to 2,1
12024,1,2014-1,15000,1 to 2,1
12025,0,2012-9,4000,0 to 1,1
12026,3,2014-2,35000,3 to 4,1
12027,1,2011-3,12000,1 to 2,1
12028,1,2013-9,4000,1 to 2,1
12029,1,2013-4,12500,1 to 2,1
12030,1,2012-7,8000,1 to 2,1
12031,4,2013-1,15000,4+,1
12032,2,2013-4,10000,2 to 3,1
12033,1,2013-9,10000,1 to 2,1
12034,3,2013-12,20000,3 to 4,1
12035,3,2013-5,10000,3 to 4,1
12036,0,2012-7,5000,0 to 1,1
12037,0,2013-8,4000,0 to 1,1
12038,3,2013-3,20000,3 to 4,1
12039,0,2011-5,2000,0 to 1,1
12040,0,2013-10,4000,0 to 1,1
12041,2,2013-7,19000,2 to 3,1
12042,0,2013-10,8000,0 to 1,1
12043,1,2011-4,4000,1 to 2,1
12044,2,2012-4,13000,2 to 3,1
12045,2,2013-6,20000,2 to 3,1
12046,2,2013-10,20000,2 to 3,1
12047,1,2011-8,3500,1 to 2,1
12048,3,2014-2,15000,3 to 4,1
12049,1,2013-11,7000,1 to 2,1
12050,2,2014-2,20000,2 to 3,1
12051,2,2012-12,20000,2 to 3,1
12052,0,2012-4,12500,0 to 1,1
12053,1,2013-8,4000,1 to 2,1
12054,0,2012-10,7500,0 to 1,1
12055,3,2012-4,15000,3 to 4,1
12056,1,2012-6,13000,1 to 2,1
12057,2,2013-12,10000,2 to 3,1
12058,1,2012-4,4000,1 to 2,1
12059,1,2010-12,7100,1 to 2,1
12060,1,2013-1,15000,1 to 2,1
12061,0,2013-8,2000,0 to 1,1
12062,0,2013-5,10500,0 to 1,1
12063,3,2013-10,10000,3 to 4,1
12064,1,2014-1,8000,1 to 2,1
12065,1,2011-9,8500,1 to 2,1
12066,0,2013-9,2550,0 to 1,1
12067,1,2013-7,30000,1 to 2,1
12068,1,2012-12,4000,1 to 2,1
12069,1,2013-8,4000,1 to 2,1
12070,1,2013-9,10000,1 to 2,1
12071,2,2013-12,15000,2 to 3,1
12072,1,2012-8,4500,1 to 2,1
12073,1,2013-4,5500,1 to 2,1
12074,1,2013-10,10000,1 to 2,1
12075,1,2014-1,5000,1 to 2,1
12076,0,2013-8,4000,0 to 1,1
12077,2,2013-11,4000,2 to 3,1
12078,0,2010-9,2051,0 to 1,1
12079,0,2010-11,3500,0 to 1,1
12080,3,2013-10,20000,3 to 4,1
12081,1,2013-8,4000,1 to 2,1
12082,3,2013-12,15000,3 to 4,1
12083,0,2012-10,5000,0 to 1,1
12084,4,2013-4,18000,4+,1
12085,1,2012-10,10000,1 to 2,1
12086,0,2012-2,6000,0 to 1,1
12087,2,2012-8,11000,2 to 3,1
12088,1,2012-8,20000,1 to 2,1
12089,1,2014-2,4500,1 to 2,1
12090,1,2011-7,7500,1 to 2,1
12091,3,2013-12,15000,3 to 4,1
12092,3,2013-11,15000,3 to 4,1
12093,4,2012-11,15000,4+,1
12094,2,2011-10,7000,2 to 3,1
12095,0,2012-8,4000,0 to 1,1
12096,2,2013-11,15000,2 to 3,1
12097,0,2013-10,15000,0 to 1,1
12098,1,2014-2,20000,1 to 2,1
12099,2,2012-4,3600,2 to 3,1
12100,1,2014-2,10000,1 to 2,1
12101,3,2013-8,20000,3 to 4,1
12102,3,2013-9,10000,3 to 4,1
12103,1,2013-8,4000,1 to 2,1
12104,2,2013-7,15000,2 to 3,1
12105,1,2013-7,10000,1 to 2,1
12106,3,2013-10,15000,3 to 4,1
12107,2,2014-2,7500,2 to 3,1
12108,2,2013-11,10000,2 to 3,1
12109,1,2013-9,7000,1 to 2,1
12110,0,2012-8,4000,0 to 1,1
12111,3,2013-8,15000,3 to 4,1
12112,3,2013-10,10000,3 to 4,1
12113,2,2014-2,15000,2 to 3,1
12114,2,2013-9,25000,2 to 3,1
12115,1,2011-7,15000,1 to 2,1
12116,3,2013-9,15000,3 to 4,1
12117,4,2012-4,13000,4+,1
12118,0,2012-12,4500,0 to 1,1
12119,0,2011-7,4500,0 to 1,1
12120,2,2012-7,18500,2 to 3,1
12121,1,2012-5,10000,1 to 2,1
12122,4,2013-3,12000,4+,1
12123,2,2011-4,5500,2 to 3,1
12124,0,2013-10,4000,0 to 1,1
12125,1,2013-4,8000,1 to 2,1
12126,3,2014-1,10000,3 to 4,1
12127,0,2013-4,4000,0 to 1,1
12128,2,2013-11,13000,2 to 3,1
12129,0,2014-1,2700,0 to 1,1
12130,0,2012-2,2000,0 to 1,1
12131,2,2013-11,8500,2 to 3,1
